MAG ID,MAG,Size (Mbp),Scaffolds (#),Compl. (%),Contam. (%),Strain Var. (%),GC (%),CDS,cov_Sum,cov_Max,cov_1%NaCl,cov_3%NaCl,cov_5%NaCl,cov_7%NaCl,cov_Inoculum,irep_1%NaCl,irep_3%NaCl,irep_5%NaCl,irep_7%NaCl,irep_Inoculum
BM304,BM304 Desulfuromonas,3.3,84,100,0.32,0,56.7,3091,15.1,9.9,1.1,9.9,3.8,0.2,0.1,,1.360810999,,,
BM501,BM501 Desulfuromonas,3.7,56,98.06,0.65,0,62.4,3348,436.5,435.5,0.4,0.3,435.5,0.1,0.2,,,1.133494845,,
BM502,BM502 Sulfurimonas,2.38,46,95.03,0.2,0,36.6,2554,95.7,91.2,3.1,0.5,91.2,0.8,0.1,,,1.166151834,,
BM503,BM503 Sedimenticola,3.86,109,99.65,0.64,0,53.9,3805,88.9,69.4,0.3,19,69.4,0,0.2,,,,,
BM504,BM504 Arcobacter,2.67,12,97.76,0.95,0,28.9,2847,57.5,57.2,0,0.2,57.2,0,0.1,,,1.183073333,,
BM505,BM505 Rhizobiales,4.04,7,98.58,0.79,0,63.6,3609,30.7,30,0.1,0.3,30,0,0.3,,,1.228806933,,
BM506,BM506 Desulfobulbaceae,3.71,83,98.81,0,0,56.3,3194,30.9,22.5,0,0,22.5,8.2,0.2,,,1.168618906,1.274978151,
BM507,BM507 Parcubacteria,1.27,49,71.78,0.99,0,35.4,1204,20.7,20.7,0,0,20.7,0,0,,,1.224832269,,
BM508,BM508 Desulfuromonas,2.66,109,97.74,1.64,25,55,2434,31.1,19.9,2,9.1,19.9,0,0.1,,1.301235957,1.515561787,,
BM509,BM509 Desulfuromonas,3.29,219,96.02,0.65,100,54.7,3141,40.1,19.2,2.1,6.3,19.2,12.4,0.1,,1.39398655,1.213207026,1.267624322,
BM511,BM511 Woesearchaeota,1.59,70,85.05,1.87,66.67,31.1,1702,15.6,15.4,0,0,15.4,0.2,0,,,1.322180435,,
BM512,BM512 Deltaproteobacteria,2.53,67,92.11,1.68,50,54.2,2404,14.6,13.1,0.4,0.9,13.1,0.2,0,,,1.255665225,,
BM513,BM513 Desulfuromonas,3.12,186,95.38,1.94,33.33,52.5,2851,19.8,12.9,0,0.1,12.9,6.8,0,,,1.206087903,1.43761779,
BM514,BM514 Marinilabiliales,3.14,478,91.49,4.43,50,39,2677,15.2,12.6,0.1,1.1,12.6,1.2,0.2,,,1.575449371,,
BM515,BM515 Desulfuromonas,2.39,138,74.23,1.61,33.33,56.1,2258,10.7,9,0.9,0.8,9,0,0,,,1.259804818,,
BM516,BM516 Ignavibacteria,3.93,436,92.35,3.01,33.33,56.7,3264,21.7,10.5,0.5,3.4,10.5,7.2,0.1,,,1.335312883,1.443909366,
BM517,BM517 Vibrio alginolyticus,3.94,725,84.18,2.94,73.33,44.9,3460,15.8,9.2,0,0,9.2,6.6,0,,,,,
BM518,BM518 Marinilabiliales,3.35,259,95.61,2.15,25,39.7,2758,12.8,8.6,0.1,4.1,8.6,0,0,,,1.415862843,,
BM519,BM519 Parcubacteria,0.97,59,72.94,2.09,0,37.2,948,9.1,8.4,0,0.2,8.4,0.5,0,,,1.283177271,,
BM520,BM520 Marinilabiliales,3.49,348,97.85,1.08,0,41.5,2732,12,10.8,0,0.1,10.8,1.1,0,,,1.374225707,,
BM521,BM521 Parcubacteria,1.06,67,83.15,1.12,0,39,983,9.5,8.2,0.6,0.7,8.2,0,0,,,1.288929913,,
BM522,BM522 Desulfuromonas,3.12,203,90,2.1,0,56.3,2941,9.6,8,1.1,0.3,8,0.1,0.1,,,1.234010215,,
BM523,BM523 Marinilabiliales,3.92,751,79.8,3.9,0,35.4,3206,6.8,6.8,0,0,6.8,0,0,,,,,
BM524,BM524 Marinilabiliales,3.6,223,93.23,1.08,0,34.4,2910,15.4,7.3,0.1,1.2,7.3,6.7,0.1,,,1.401007671,1.451690786,
BM525,BM525 Deltaproteobacteria,2.6,192,94.21,2.52,0,54.5,2497,9.4,4.4,0.9,4.1,4.4,0,0,,,,,
BM701,BM701 Denitrovibrio,2.88,29,95.35,0,0,41.1,2811,324.2,323.1,0.1,0.2,0.7,323.1,0.1,,,,1.272975888,
BM702,BM702 Sulfurimonas,1.88,122,97.14,3.22,60,34.4,1999,291,258.3,2.8,0.3,29.5,258.3,0.1,,,,,
BM703,BM703 Marinilabiliales,4.24,27,96.15,3.49,0,32.9,4035,112.5,101.5,0.1,0.2,10.6,101.5,0.1,,,1.365042217,1.419423527,
BM704,BM704 Denitrovibrio,2.78,13,93.97,0,0,38.8,2700,44.3,43.8,0,0.1,0.4,43.8,0,,,,1.412658872,
BM705,BM705 Parcubacteria,1.43,15,76.81,0,0,33.5,1424,46.3,41.2,0,0,5.1,41.2,0,,,1.420048922,1.240462704,
BM706,BM706 Muirbacteria,2.92,147,96.56,3.5,20,32.9,2669,56.3,34.3,0,0,22,34.3,0,,,1.370708157,1.355265057,
BM707,BM707 Desulfuromonas,3.08,121,99.35,0.65,0,53.3,2941,22.7,22.4,0,0.1,0.1,22.4,0.1,,,,1.30594657,
BM709,BM709 Desulfuromonas,3.03,226,93.44,7.74,42.86,58.3,2916,20.4,19.6,0.2,0.3,0.2,19.6,0.1,,,,1.303837921,
BM714,BM714 Clostridiales,1.93,370,92.13,3.9,75,44.6,1911,13.2,8.3,0.4,0.7,3.8,8.3,0,,,,,
BM715,BM715 Salinivirgaceae,4.32,364,94.23,3.33,25,35.1,3493,11.4,10.2,0.1,0.1,1,10.2,0,,,,1.317304594,
BM718,BM718 Marinilabiliales,3.57,544,91.08,1.61,20,32.4,3157,9.5,7.1,0.1,0.2,2,7.1,0.1,,,,1.437042738,
BM719,BM719 Marinilabiliales,3.29,324,94.3,1.14,0,33.9,2740,9.5,3.8,1.3,2.7,1.6,3.8,0.1,,,,,
